latitude,longitude,dpc_type,onsite
41.3063215,-105.5476032,Hybrid,No
30.1743599,-92.0799263,Pure DPC,No
34.9782695,-80.5250483,Hybrid,Yes
26.1915725,-97.6963214,Pure DPC,No
37.7104796,-85.8369858,Pure DPC,No
34.2367146,-77.83248449999999,Pure DPC,No
45.5777322,-94.18319199999999,Hybrid,No
32.933866,-97.211654,Pure DPC,No
32.4065416,-90.1450692,Pure DPC,No
34.9594076,-89.8571099,Pure DPC,No
33.6620133,-85.8253695,Pure DPC,Yes
41.8813516,-87.6391503,Pure DPC,No
40.5331619,-105.0731173,Pure DPC,No
35.9601212,-78.9553837,Pure DPC,No
43.491138,-111.999875,Hybrid,Yes
40.12057,-88.2437257,Pure DPC,No
41.3416529,-86.3083869,Pure DPC,No
41.930203,-87.864873,Pure DPC,No
27.1928549,-80.22161489999999,Pure DPC,No
40.5747981,-105.0567693,Pure DPC,No
28.664851,-81.2230103,Pure DPC,No
29.9231313,-95.1954777,Pure DPC,No
42.07077779999999,-88.20907590000002,Hybrid,No
34.2641988,-85.8635369,Pure DPC,No
45.6882513,-122.6103817,Pure DPC,No
29.6918394,-82.4994284,Pure DPC,No
26.6431541,-81.8688193,Pure DPC,No
35.9543729,-84.14761519999999,Pure DPC,No
36.2211961,-86.33989419999999,Pure DPC,No
41.6659071,-86.2371666,Pure DPC,No
40.7107604,-99.0825818,Pure DPC,No
41.1495801,-95.9148654,Pure DPC,No
40.841391,-96.60681129999999,Pure DPC,No
41.1324304,-96.2494803,Pure DPC,No
41.2472467,-96.1943237,Pure DPC,No
41.1381789,-96.04149129999999,Pure DPC,No
41.2101754,-95.9475351,Pure DPC,No
37.6681771,-120.9894511,Pure DPC,No
37.8771476,-122.1796888,Pure DPC,No
35.7458246,-78.87217629999999,Pure DPC,No
27.3937294,-82.53082429999999,Pure DPC,No
42.0275831,-88.08080509999999,Pure DPC,No
41.7016067,-87.68172779999999,Hybrid,No
37.9414747,-97.869843,Pure DPC,Yes
35.78530200000001,-78.636636,Pure DPC,No
42.7019221,-84.4347854,Pure DPC,No
38.8997701,-77.26990119999999,Pure DPC,No
37.3933279,-89.6703418,Pure DPC,No
37.3289364,-89.5729733,Pure DPC,No
32.9291809,-96.8024181,Pure DPC,Yes
40.7210153,-99.08768119999999,Pure DPC,No
45.5329445,-122.5532938,Hybrid,No
34.9775468,-80.52480949999999,Pure DPC,No
43.54785330000001,-109.6652877,Hybrid,No
27.7866945,-82.64642409999999,Pure DPC,No
35.3202514,-80.7730575,Pure DPC,No
36.30065099999999,-82.468955,Pure DPC,No
32.7080686,-97.4015541,Pure DPC,No
48.2210213,-114.3283666,Pure DPC,No
38.7319835,-88.0718682,Pure DPC,No
36.981803,-121.9665187,Pure DPC,No
42.4566911,-75.0625292,Pure DPC,No
39.7317325,-77.4741967,Pure DPC,No
37.338327,-108.6014661,Pure DPC,No
46.8899005,-114.0406842,Hybrid,No
38.57756930000001,-122.5758711,Pure DPC,No
38.5667398,-121.4418379,Pure DPC,No
39.36103629999999,-104.8617346,Hybrid,No
42.5997068,-83.61008509999999,Pure DPC,No
40.0477533,-83.1246438,Hybrid,No
48.391898,-122.4886393,Hybrid,No
45.6740012,-121.4990685,Pure DPC,No
38.567925,-90.40758489999999,Pure DPC,No
31.2062091,-83.2504785,Pure DPC,No
42.6743719,-83.1520017,Pure DPC,No
30.3189405,-95.47766299999999,Pure DPC,No
34.208035,-77.849836,Pure DPC,No
37.2802867,-107.8571696,Pure DPC,No
30.7507857,-86.5627063,Pure DPC,No
40.6351132,-80.31666969999999,Pure DPC,No
36.3225716,-76.217413,Pure DPC,No
38.7742099,-76.07640359999999,Unknown/Other,No
33.5778631,-101.8551665,Pure DPC,No
35.9937381,-115.1003922,Pure DPC,No
41.868765,-87.6628999,Pure DPC,No
42.3211819,-122.8739533,Pure DPC,No
34.10448969999999,-118.1451902,Pure DPC,Yes
33.6580837,-117.8611339,Pure DPC,No
33.6743057,-111.9782136,Pure DPC,No
29.5207179,-98.6401272,Hybrid,No
41.0154442,-73.8682089,Pure DPC,No
32.219316,-110.7739575,Pure DPC,No
32.58366,-93.7305488,Pure DPC,No
47.17533359999999,-122.2907247,Pure DPC,No
32.0355084,-81.010932,Pure DPC,No
47.68524009999999,-114.1614352,Pure DPC,No
42.2189649,-71.0028919,Pure DPC,No
28.1944834,-82.3550914,Pure DPC,No
38.2244404,-78.37431219999999,Pure DPC,No
43.0196561,-70.91513909999999,Pure DPC,No
32.464514,-99.72623329999999,Pure DPC,No
41.1008763,-74.029438,Hybrid,No
39.4470824,-119.7478973,Pure DPC,No
38.1505847,-107.7568202,Pure DPC,No
32.4316921,-93.7252698,Pure DPC,No
41.8038058,-87.9243903,Pure DPC,No
44.9467667,-93.13299699999999,Pure DPC,No
37.20824220000001,-93.294902,Pure DPC,No
38.8773643,-94.778463,Pure DPC,No
38.7573704,-75.1578899,Pure DPC,No
33.414661,-84.5600947,Pure DPC,No
42.1935562,-88.1981497,Pure DPC,No
33.2347522,-111.7176734,Pure DPC,No
29.1940123,-82.1028573,Pure DPC,No
36.6864795,-93.8647962,Pure DPC,No
34.7684333,-92.4498303,Pure DPC,No
37.2230665,-107.8602461,Pure DPC,No
38.021734,-97.3329382,Pure DPC,No
42.0319427,-71.24122009999999,Pure DPC,No
35.8416845,-78.6114966,Pure DPC,Yes
38.8357914,-77.0981294,Pure DPC,No
30.7485213,-98.67548719999999,Pure DPC,No
34.9601451,-81.0426378,Pure DPC,No
35.9015794,-78.8006654,Pure DPC,No
30.8176612,-97.61510709999999,Pure DPC,No
41.5656864,-83.61518769999999,Pure DPC,No
39.4336656,-75.7125779,Hybrid,No
46.7269019,-116.9983197,Pure DPC,Yes
40.54368660000001,-105.056331,Pure DPC,No
38.9505213,-94.6694576,Pure DPC,No
33.875036,-98.56287379999999,Pure DPC,No
44.7677878,-68.7979616,Pure DPC,No
35.6039749,-77.4052415,Pure DPC,No
38.507859,-82.6952316,Pure DPC,No
31.288728,-92.3276829,Pure DPC,No
34.6771379,-88.5606045,Pure DPC,No
35.1991837,-101.9164025,Pure DPC,No
33.6891284,-117.9925556,Pure DPC,No
41.3124749,-81.6817026,Hybrid,No
39.7824277,-105.0601924,Hybrid,No
43.2100819,-87.92347029999999,Hybrid,No
40.6965471,-111.5430572,Pure DPC,No
40.01177430000001,-86.127555,Pure DPC,No
41.6111514,-88.21499999999999,Hybrid,No
40.2075033,-74.8673779,Pure DPC,No
40.741409,-111.8428183,Pure DPC,No
35.1762016,-106.5684432,Pure DPC,No
38.0968,-97.9461,Pure DPC,No
37.7227204,-97.1972965,Pure DPC,No
41.2359977,-96.0209872,Pure DPC,No
30.13039,-95.552488,Pure DPC,No
45.5762466,-122.7946414,Pure DPC,No
39.9165052,-86.1558604,Pure DPC,No
41.2499517,-95.8135882,Pure DPC,No
39.759067,-84.056949,Hybrid,No
36.3157505,-94.19462109999999,Pure DPC,No
34.951838,-82.239262,Pure DPC,No
40.015203,-105.2477744,Hybrid,No
40.1350339,-105.1049284,Hybrid,No
40.0133395,-105.284034,Hybrid,No
41.25940480000001,-96.0520777,Pure DPC,No
35.5795404,-82.55908409999999,Pure DPC,No
38.9111135,-94.65238079999999,Pure DPC,No
30.6502841,-96.2976061,Pure DPC,No
33.5550992,-79.0426779,Pure DPC,No
32.8098439,-79.850594,Pure DPC,No
43.4749872,-110.7748631,Pure DPC,No
47.01471009999999,-122.8234795,Pure DPC,No
40.638863,-80.0623833,Pure DPC,No
47.5938169,-122.3838947,Pure DPC,No
40.6160279,-103.211664,Pure DPC,No
47.8126717,-122.3773974,Unknown/Other,No
32.2661138,-95.34003179999999,Pure DPC,Yes
33.1259184,-117.0722187,Pure DPC,No
39.637344,-84.1057824,Pure DPC,No
40.0208399,-105.2615323,Hybrid,No
40.4617982,-105.0787118,Pure DPC,No
40.5492818,-105.0790993,Pure DPC,No
28.4306739,-81.4799394,Pure DPC,No
39.1201188,-84.4852611,Pure DPC,No
40.577962,-122.392861,Pure DPC,No
42.1984089,-85.63189969999999,Pure DPC,No
30.0246414,-90.27120359999999,Pure DPC,No
29.969452,-95.55263339999999,Pure DPC,No
42.9187174,-85.5804648,Pure DPC,No
36.7171983,-95.9357285,Pure DPC,No
42.3641415,-71.06278069999999,Pure DPC,No
40.21910099999999,-74.687308,Pure DPC,No
40.2662716,-74.800767,Pure DPC,No
39.9221125,-75.0027367,Pure DPC,No
40.5011741,-74.4564881,Pure DPC,No
39.8494918,-74.9881322,Pure DPC,No
28.7555402,-81.32546219999999,Hybrid,No
34.1694241,-84.18868739999999,Pure DPC,No
45.6317371,-89.4036285,Hybrid,No
35.3798146,-81.377619,Pure DPC,No
26.274723,-80.12111999999999,Pure DPC,No
40.3752202,-83.75356909999999,Pure DPC,No
33.1596726,-96.6371326,Pure DPC,Yes
38.9727997,-95.2739706,Pure DPC,No
40.5521634,-105.0808126,Hybrid,No
40.5216161,-105.0305829,Hybrid,No
39.548813,-104.7771173,Hybrid,No
40.1786346,-122.2369828,Pure DPC,No
29.7760102,-95.74283849999999,Pure DPC,No
42.0917311,-71.4308176,Pure DPC,No
43.2286295,-87.9251675,Pure DPC,No
34.8702604,-82.35820369999999,Pure DPC,No
